Type,Geography,Employed in the Selection Area,Employed in the Selection Area but Living Outside,Employed and Living in the Selection Area,Living in the Selection Area,Living in the Selection Area but Employed Outside,Living and Employed in the Selection Area,Commute in / Work-and-live,Commute out / Work-and-live
CBSA,"Hartford-West Hartford-East Hartford, CT",616469,168276,448193,560748,112555,448193,0.3755,0.2511
CBSA,New Haven,365032,126604,238428,386950,148522,238428,0.531,0.6229
CBSA,"Bridgeport-Stamford-Norwalk, CT",414715,153261,261454,386433,124979,261454,0.5862,0.478
CBSA,"Providence-New Bedford-Fall River, RI-MA",445194,33890,411304,432885,21581,411304,0.0824,0.0525
CBSA,"Portland-South Portland-Biddeford, ME",243271,52227,191044,233855,42811,191044,0.2734,0.2241
Capital city,Hartford,121334,106673,14661,42770,28109,14661,7.276,1.9173
CT city,New Haven,82658,63379,19279,43823,24544,19279,3.2875,1.2731
CT city,Waterbury,41510,28048,13462,43503,30041,13462,2.0835,2.2315
CT city,Stamford,72102,51030,21072,54747,33675,21072,2.4217,1.5981
CT city,New Britain,25968,20198,5770,30777,25007,5770,3.5005,4.334
CT city,Bridgeport,44197,30755,13442,52176,38734,13442,2.288,2.8816
Capital city,Providence RI,111144,86899,24245,50006,25761,24245,3.5842,1.0625
Capital city,"Portland, ME",67115,50647,16468,31585,15117,16468,3.0755,0.918
Capital city,"Albany, NY",119544,101278,18266,39073,20807,18266,5.5446,1.1391
Capital city,"Trenton, NJ",39071,33406,5665,28872,23207,5665,5.8969,4.0966
Capital city,"Harrisburg, PA",51948,47020,4928,18888,13960,4928,9.5414,2.8328
Capital city,"Columbus, OH",468243,280138,188105,344672,156567,188105,1.4893,0.8323
Capital city,"Des Moines, IA",139248,91560,47688,94580,46892,47688,1.92,0.9833
Capital city,"Austin, TX",608323,361799,246524,360308,113784,246524,1.4676,0.4616
Capital city,"Raleigh, NC",331302,247003,84299,176969,92670,84299,2.9301,1.0993
Resurgent city,"Jersey City, NJ",108914,86119,22795,113644,90849,22795,3.778,3.9855
Resurgent city,"Fort Wayne, IN",142145,75067,67078,108388,41310,67078,1.1191,0.6159
Resurgent city,"Grand Rapids, MI",125130,96903,28227,72827,44600,28227,3.433,1.58
Resurgent city,"Evansville, IN",91902,58468,33434,50291,16857,33434,1.7488,0.5042
Resurgent city,"Winston-Salem, NC",144936,96093,48843,85289,36446,48843,1.9674,0.7462
Resurgent city,"Greensboro, NC",182226,121998,60228,111520,51292,60228,2.0256,0.8516
Other,"Atlanta, GA",392195,321177,71018,167596,96578,71018,4.5225,1.3599
Other,"Detroit, MI",243979,175006,68973,183069,114096,68973,2.5373,1.6542
Other,"Baltimore, MD",325608,214351,111257,242084,130827,111257,1.9266,1.1759
