"CT.County.Subdivisions","Town","Towngroup","Color","County"
901301080,"Andover","Suburban / rural","Grey","Tolland"
900302060,"Avon","Suburban / rural","Blue","Hartford"
900305910,"Bloomfield","Urban periphery","Grey","Hartford"
901306260,"Bolton","Suburban / rural","Grey","Tolland"
900312270,"Canton","Suburban / rural","Grey","Hartford"
900322070,"East Granby","Suburban / rural","Grey","Hartford"
900322630,"East Hartford","Urban periphery","Orange","Hartford"
900324800,"East Windsor","Suburban / rural","Orange","Hartford"
901325360,"Ellington","Suburban / rural","Grey","Tolland"
900325990,"Enfield","Urban periphery","Orange","Hartford"
900327600,"Farmington","Suburban / rural","Blue","Hartford"
900331240,"Glastonbury","Suburban / rural","Blue","Hartford"
900332640,"Granby","Suburban / rural","Blue","Hartford"
900337070,"Hartford","Hartford","Red","Hartford"
901337910,"Hebron","Suburban / rural","Blue","Tolland"
900344700,"Manchester","Urban periphery","Grey","Hartford"
900345820,"Marlborough","Suburban / rural","Grey","Hartford"
900352140,"Newington","Urban periphery","Grey","Hartford"
900365370,"Rocky Hill","Urban periphery","Grey","Hartford"
900368940,"Simsbury","Suburban / rural","Blue","Hartford"
901369220,"Somers","Suburban / rural","Orange","Tolland"
900371390,"South Windsor","Suburban / rural","Grey","Hartford"
900374540,"Suffield","Suburban / rural","Grey","Hartford"
901376290,"Tolland","Suburban / rural","Grey","Tolland"
901378250,"Vernon","Urban periphery","Orange","Tolland"
900382590,"West Hartford","Urban periphery","Blue","Hartford"
900384900,"Wethersfield","Urban periphery","Grey","Hartford"
900387000,"Windsor","Urban periphery","Grey","Hartford"
900387070,"Windsor Locks","Urban periphery","Orange","Hartford"
901372090,"Stafford","Suburban / rural","Orange","Tolland"
